location_id,place_id,attestation,latitude,longitude
loc_0179,yrdb151,ds_1578,,
loc_0180,yrdb152,us_81122,35.49219955,104.5442567
loc_0181,yrdb153,ds_1239,35.0056,115.3967
loc_0182,yrdb154,ds_1237,32.91365556,119.8461139
loc_0183,yrdb155,ds_1526,25.45675833,119.0029889
loc_0184,yrdb156,us_30027,35.09729258,105.7263946
loc_0185,yrdb157,ds_1525,32.68682222,109.0241639
loc_0186,yrdb158,ds_1527,33.32905278,106.1526167
loc_0187,yrdb159,us_80175,34.90645223,109.4425854
loc_0188,yrdb160,us_70017,36.70439251,110.4585093
loc_0189,yrdb160,us_80755,36.69298702,110.4516309
loc_0190,yrdb161,us_80461,38.05282459,107.0349009
loc_0191,yrdb162,ds_1238,38.4625,116.9153
loc_0192,yrdb163,us_10137,37.05282412,111.8074731
loc_0193,yrdb164,us_10054,35.60072234,110.9643682
loc_0194,yrdb164,us_20155,35.59637421,110.9640346
loc_0195,yrdb166,us_10114,34.61367276,105.4707413
loc_0196,yrdb167,ds_1106,37.7745,112.5817
loc_0197,yrdb167,ds_1198,37.4365,112.0336
loc_0198,yrdb167,ds_1481,37.5097,111.1446
loc_0199,yrdb167,ds_1603,,
loc_0200,yrdb168,ds_672,,
loc_0201,yrdb168,ds_801,37.51290556,115.7182639
loc_0202,yrdb168,ds_926,,
loc_0203,yrdb168,ds_1236,37.5652,115.5734
loc_0204,yrdb168,ds_1292,37.5166,115.8658
loc_0205,yrdb168,ds_1410,37.5652,115.5734
loc_0206,yrdb169,us_80742,37.32007752,111.9648276
loc_0207,yrdb171,us_80792,35.99546245,112.2874611
loc_0208,yrdb171,us_70410,35.97451663,112.2977545
loc_0209,yrdb172,us_80506,35.50202996,104.3714792
loc_0210,yrdb173,ds_1482,38.983125,106.3793333
loc_0211,yrdb173,ds_1629,,
loc_0212,yrdb173,ds_1779,,
loc_0213,yrdb174,ds_1096,35.9531,114.9067
loc_0214,yrdb175,ds_162,35.03333333,114.4
loc_0215,yrdb176,us_70273,35.08899086,107.8449992
loc_0216,yrdb176,us_80191,35.15282621,107.8900191
loc_0217,yrdb178,us_80723,37.45185741,110.7606321
loc_0218,yrdb179,ds_960,36.48362778,115.4366028
loc_0219,yrdb180,us_30049,36.86697972,111.7183521
loc_0220,yrdb181,ds_152,34.7,111.0333333
loc_0221,yrdb182,us_80161,35.35823328,109.7909051
loc_0222,yrdb183,us_80993,35.97274178,113.1394862
loc_0223,yrdb184,us_70484,39.3166049,111.1802905
loc_0224,yrdb185,ds_150,34.83333333,115.5666667
loc_0225,yrdb186,us_70179,36.01573375,104.8406026
loc_0226,yrdb187,ds_151,37.43333333,118.2333333
loc_0227,yrdb188,us_80222,34.61011274,108.235868
loc_0228,yrdb189,us_80165,35.19269519,109.6770977
loc_0229,yrdb190,us_80354,36.45642493,102.7118451
loc_0230,yrdb191,us_40220,34.65774176,108.6554299
loc_0231,yrdb192,us_80772,36.9360982,111.8194153
loc_0232,yrdb192,us_70066,36.95689693,111.809913
loc_0233,yrdb193,ds_56,33.25,119.4833333
loc_0234,yrdb193,ds_499,33.5016,119.1502
loc_0235,yrdb193,ds_768,33.47761389,119.0877806
loc_0236,yrdb193,ds_1569,33.61159722,119.0099528
loc_0237,yrdb194,ds_1316,39.8458,111.398575
loc_0238,yrdb195,ds_1443,37.9272,102.6438
loc_0239,yrdb196,ds_349,34.39795556,115.8651889
loc_0240,yrdb197,us_20208,34.61281928,112.4159573
loc_0241,yrdb198,us_80738,37.06106188,111.1559717
loc_0242,yrdb199,ds_1370,33.9268,106.6335
loc_0243,yrdb200,ds_934,34.52241667,107.3957028
loc_0244,yrdb201,ds_1369,34.52241667,107.3957028
loc_0245,yrdb202,ds_39,33.85,115.7833333
loc_0246,yrdb202,ds_935,32.87370278,117.5548
loc_0247,yrdb203,ds_1676,34.22743889,117.3926583
loc_0248,yrdb205,us_20020,34.62362921,110.9215405
loc_0249,yrdb205,us_20072,34.70935189,112.1570749
loc_0250,yrdb205,us_20180,34.6836752,112.1815825
loc_0251,yrdb205,us_30018,34.72659844,112.1799432
loc_0252,yrdb205,us_30064,34.69574795,112.2119928
loc_0253,yrdb205,us_10066,34.60734552,110.9121685
loc_0254,yrdb205,us_40081,34.72568577,112.1806402
loc_0255,yrdb205,us_70490,34.62390087,110.9110474
loc_0256,yrdb207,us_20196,37.60958942,112.7482173
loc_0257,yrdb207,us_10142,37.49256736,112.724923
loc_0258,yrdb208,ds_118,33.59446667,118.8434667
loc_0259,yrdb209,ds_1683,34.54224167,114.0834167
